jw_entity_id,title,type,release_year,poster
ts32170,Dog & Scissors,show,2013.0,/poster/178191955/{profile}
ts27220,Gun x Sword,show,2005.0,/poster/209441556/{profile}
ts224886,Listeners,show,2020.0,/poster/174647286/{profile}
ts545,Black Cat,show,2005.0,/poster/258651080/{profile}
ts219536,Phantasy Star Online 2: Episode Oracle,show,2019.0,/poster/145562932/{profile}
ts18476,Battle Athletes,show,1997.0,/poster/243424253/{profile}
ts19058,Burst Angel,show,2004.0,/poster/175099207/{profile}
ts88969,Case File N° 221: Kabukicho,show,2019.0,/poster/253936469/{profile}
ts5624,Riddle Story of Devil,show,2014.0,/poster/168054737/{profile}
ts55906,Bikini Warriors,show,2015.0,/poster/172434722/{profile}
ts315176,Tribe Nine,show,2022.0,/poster/256742537/{profile}
ts34625,Sekai Ichi Hatsukoi: The World's Greatest First Love,show,2011.0,/poster/139056678/{profile}
ts31728,Kaleido Star,show,2003.0,/poster/250978688/{profile}
ts268385,Pretty Boy Detective Club,show,2021.0,/poster/244013096/{profile}
ts6619,Chrono Crusade,show,2003.0,/poster/241519551/{profile}
ts216573,After School Dice Club,show,2019.0,/poster/253935892/{profile}
ts237088,King's Raid: Successors of the Will,show,2020.0,/poster/209069047/{profile}
ts34363,Valvrave the Liberator,show,2013.0,/poster/269727224/{profile}
ts74759,エウレカセブンAO,show,2012.0,/poster/469169/{profile}
ts35093,Coppelion,show,2013.0,/poster/237957200/{profile}
ts38064,Pumpkin Scissors,show,2006.0,/poster/194969614/{profile}
ts20199,Laughing Under the Clouds,show,2014.0,/poster/206080348/{profile}
ts221063,Shironeko Project: Zero Chronicle,show,2020.0,/poster/253936927/{profile}
ts34359,Vividred Operation,show,2013.0,/poster/168002927/{profile}
ts40784,My-Otome,show,2005.0,/poster/192438148/{profile}
ts221118,Smile Down the Runway,show,2020.0,/poster/168421139/{profile}
ts34286,Samurai Flamenco,show,2013.0,/poster/176764924/{profile}
ts13706,Crest of the Stars,show,1999.0,/poster/262865276/{profile}
ts43210,Castle Town Dandelion,show,2015.0,/poster/142032016/{profile}
ts27999,Robotics;Notes,show,2012.0,/poster/179735361/{profile}
ts37834,Heavy Object,show,2015.0,/poster/174474324/{profile}
ts302754,Police in a Pod,show,2022.0,/poster/289932360/{profile}
ts88364,Fairy Gone,show,2019.0,/poster/123891238/{profile}
ts56465,Monster Hunter Stories: Ride On,show,2016.0,/poster/253936441/{profile}
ts58427,Pandora in the Crimson Shell: Ghost Urn,show,2016.0,/poster/141968143/{profile}
ts20203,Tokyo ESP,show,2014.0,/poster/253938793/{profile}
ts34904,Appleseed XIII,show,2011.0,/poster/213870800/{profile}
ts36857,Hyperdimension Neptunia,show,2013.0,/poster/169191394/{profile}
ts221303,Stand My Heroes: Piece of Truth,show,2019.0,/poster/173368839/{profile}
ts223234,HYPNOSISMIC -Division Rap Battle- Rhyme Anima,show,2020.0,/poster/208841358/{profile}
ts43025,Haruchika – Haruta & Chika,show,2016.0,/poster/275855816/{profile}
ts35199,Ultimate Otaku Teacher,show,2015.0,/poster/169151269/{profile}
ts269383,Selection Project,show,2021.0,/poster/248542299/{profile}
ts243383,Super Cub,show,2021.0,/poster/227457089/{profile}
ts221705,Africa Salaryman,show,2019.0,/poster/253936011/{profile}
ts27249,Nabari no Ou,show,2008.0,/poster/252209566/{profile}
ts23172,Sengoku Basara,show,2009.0,/poster/261978645/{profile}
ts35661,Kiddy Grade,show,2002.0,/poster/654355/{profile}
ts29066,Red Garden,show,2006.0,/poster/253938377/{profile}
ts43068,Prince of Stride: Alternative,show,2016.0,/poster/242850780/{profile}
ts7222,Dragonaut: The Resonance,show,2007.0,/poster/157925636/{profile}
ts285899,Tesla Note,show,2021.0,/poster/252681067/{profile}
ts88988,RobiHachi,show,2019.0,/poster/253938883/{profile}
ts20719,Buddy Complex,show,2013.0,/poster/253939946/{profile}
ts223631,A3!,show,2020.0,/poster/162926607/{profile}
ts55694,World Conquest Zvezda Plot,show,2014.0,/poster/241513082/{profile}
ts42369,First Love Monster,show,2016.0,/poster/185984679/{profile}
ts36797,Classroom Crisis,show,2015.0,/poster/142033008/{profile}
ts55799,The Rolling Girls,show,2015.0,/poster/283297339/{profile}
ts78924,In Search of the Lost Future,show,2014.0,/poster/141414570/{profile}
ts57709,Koyomimonogatari,show,2016.0,/poster/241298745/{profile}
ts223089,Dropout Idol Fruit Tart,show,2020.0,/poster/253936160/{profile}
ts34699,Minami-ke,show,2007.0,/poster/142278727/{profile}
ts43840,A Good Librarian Like a Good Shepherd,show,2014.0,/poster/141413798/{profile}
ts256293,Kageki Shojo!!,show,2021.0,/poster/247575887/{profile}
ts33210,Rental Magica,show,2007.0,/poster/193332497/{profile}
ts66566,BlazBlue Alter Memory,show,2013.0,/poster/253935648/{profile}
ts32727,Heroic Age,show,2007.0,/poster/296863445/{profile}
ts35462,Ninja Slayer From Animation,show,2015.0,/poster/142154468/{profile}
ts24641,Heat Guy J,show,2002.0,/poster/138621539/{profile}
ts75767,Infini-T Force,show,2017.0,/poster/141799017/{profile}
ts25826,Ga-Rei-Zero,show,2008.0,/poster/253938844/{profile}
ts36429,Gravion,show,2002.0,/poster/156721347/{profile}
ts15334,Brothers Conflict,show,2013.0,/poster/139188876/{profile}
ts88979,Afterlost,show,2019.0,/poster/253937618/{profile}
ts2991,The Betrayal Knows My Name,show,2010.0,/poster/198122837/{profile}
ts222347,Diary of Our Days at the Breakwater,show,2020.0,/poster/224992434/{profile}
ts153776,Shounen Hollywood,show,2014.0,/poster/241114428/{profile}
ts34538,"We, Without Wings - Under the innocent sky",show,2011.0,/poster/159087460/{profile}
ts31713,MoonPhase,show,2004.0,/poster/243617187/{profile}
ts89576,Gorgeous Butterfly: Young Nobunaga,show,2019.0,/poster/138770248/{profile}
ts221038,Gal & Dino,show,2020.0,/poster/176922585/{profile}
ts78358,Wanna Be the Strongest in the World,show,2013.0,/poster/81594207/{profile}
ts221956,Sakura Wars: The Animation,show,2020.0,/poster/152682217/{profile}
ts43142,Concrete Revolutio,show,2015.0,/poster/198440650/{profile}
ts38179,Prétear,show,2001.0,/poster/290748932/{profile}
ts269382,PuraOre! ~Pride of Orange~,show,2021.0,/poster/294008154/{profile}
ts286294,Rumble Garanndoll,show,2021.0,/poster/257524739/{profile}
ts15787,Bamboo Blade,show,2007.0,/poster/190138566/{profile}
ts32464,Level E,show,2011.0,/poster/139173984/{profile}
ts41348,Dimension W,show,2016.0,/poster/249264496/{profile}
ts32397,PUCHIM@S,show,2013.0,
ts222779,Hatena Illusion,show,2020.0,/poster/253935486/{profile}
ts33671,Ragnarok The Animation,show,2004.0,/poster/139054758/{profile}
ts52906,Trickster,show,2016.0,/poster/141577604/{profile}
ts42986,Luck & Logic,show,2016.0,/poster/141987708/{profile}
ts281859,Blue Reflection Ray,show,2021.0,/poster/244007074/{profile}
ts216572,"If My Favorite Pop Idol Made It to the Budokan, I Would Die",show,2020.0,/poster/253935939/{profile}
ts419,Coyote Ragtime Show,show,2006.0,/poster/253940356/{profile}
ts27319,Aquarion,show,2005.0,/poster/170502677/{profile}
ts53298,Akiba's Trip The Animation,show,2017.0,/poster/253938265/{profile}
ts221701,Futsal Boys!!!!!,show,2022.0,/poster/259075150/{profile}
ts58293,18if,show,2017.0,/poster/14860683/{profile}
ts5200,Fractale,show,2011.0,/poster/167866690/{profile}
ts222602,Maesetsu! Opening Act,show,2020.0,/poster/208530613/{profile}
ts225793,Warlords of Sigrdrifa,show,2020.0,/poster/208617997/{profile}
ts56844,Rainbow Days,show,2016.0,/poster/141965435/{profile}
ts285762,Muteking the Dancing Hero,show,2021.0,/poster/252679471/{profile}
ts1340,El Cazador de la Bruja,show,2007.0,/poster/189336409/{profile}
ts221846,"Wave, Listen to Me!",show,2020.0,/poster/176036726/{profile}
ts54057,Rampo Kitan: Game of Laplace,show,2015.0,/poster/233315876/{profile}
ts252132,The Gymnastics Samurai,show,2020.0,/poster/253937897/{profile}
ts219482,Ensemble Stars,show,2019.0,/poster/173314014/{profile}
ts57624,Dance with Devils,show,2015.0,/poster/141990089/{profile}
ts20722,Selector Infected WIXOSS,show,2014.0,/poster/491251/{profile}
ts221324,TAMAYOMI: The Baseball Girls,show,2020.0,/poster/175831820/{profile}
ts60947,Project Blue Earth SOS,show,2006.0,/poster/138746001/{profile}
ts223009,Show by Rock!! Mashumairesh!!,show,2020.0,/poster/164907040/{profile}
ts21388,Daimidaler the Sound Robot,show,2014.0,/poster/158877613/{profile}
ts28869,Disgaea,show,2006.0,/poster/189908622/{profile}
ts23646,Kiddy GiRL-AND,show,2009.0,/poster/139176492/{profile}
ts43804,Show by Rock!!,show,2015.0,/poster/240298816/{profile}
ts40323,Suzuka,show,2005.0,/poster/138745729/{profile}
ts81227,"Last Exile: Fam, The Silver Wing",show,2011.0,/poster/300646867/{profile}
ts33635,Hero Tales,show,2007.0,/poster/193434107/{profile}
ts82439,Seiyu's Life!,show,2015.0,/poster/141927656/{profile}
ts31208,Galaxy Angel,show,2001.0,/poster/190229521/{profile}
ts38733,"Three Leaves, Three Colors",show,2016.0,/poster/250654126/{profile}
ts23468,Rideback,show,2009.0,/poster/246662683/{profile}
ts23174,Shangri-La,show,2009.0,/poster/139080701/{profile}
ts27127,Tales of the Abyss,show,2008.0,/poster/244601775/{profile}
ts217743,number24,show,2020.0,/poster/164381405/{profile}
ts312792,Drowning Sorrows in Raging Fire,show,2021.0,/poster/252929936/{profile}
ts35977,Chaos Dragon: Sekiryuu Sen'eki,show,2015.0,/poster/28883233/{profile}
ts27295,Solty Rei,show,2005.0,/poster/300607958/{profile}
ts313634,Ancient Girl's Frame,show,2021.0,/poster/264624758/{profile}
ts223153,Skate-Leading Stars,show,2021.0,/poster/240278594/{profile}
ts56721,Zaion: I Wish You Were Here,show,2001.0,/poster/139149920/{profile}
ts36959,Rumbling Hearts,show,2003.0,/poster/159171073/{profile}
ts57522,God Mazinger,show,1984.0,/poster/179119638/{profile}
ts34203,Shattered Angels,show,2007.0,/poster/175068809/{profile}
ts58594,Aquarion Evol,show,2012.0,/poster/139221237/{profile}
ts38737,Girl Meets Bear,show,2016.0,/poster/191304390/{profile}
ts297028,Can Ci Pin: Fangzhu Xingkong,show,2021.0,/poster/293671056/{profile}
ts66576,Venus Versus Virus,show,2007.0,/poster/139009225/{profile}
ts241097,LBX Girls,show,2021.0,/poster/243772451/{profile}
ts28899,Save Me! Lollipop,show,2006.0,/poster/138745994/{profile}
ts254620,Gekidol,show,2021.0,/poster/240278627/{profile}
ts41925,Regalia: The Three Sacred Stars,show,2016.0,/poster/260244640/{profile}
ts178443,Blessing of the Campanella,show,2010.0,/poster/173108438/{profile}
ts316995,Sureiyâzu Revolution,show,2008.0,
ts41551,Time Travel Girl,show,2016.0,/poster/175151740/{profile}
ts39908,Kurau Phantom Memory,show,2004.0,/poster/138738996/{profile}
ts302594,Fantasia Sango – Realm of Legends,show,2022.0,/poster/259481546/{profile}
ts28816,Jyu-Oh-Sei,show,2006.0,/poster/248915395/{profile}
ts34732,Jinki: Extend,show,2005.0,/poster/176835730/{profile}
ts68885,Moeyo Ken TV,show,2005.0,/poster/255380451/{profile}
ts82141,Puzzle & Dragons X,show,2016.0,/poster/141636141/{profile}
ts70585,Sasami: Magical Girls Club,show,2006.0,/poster/159127864/{profile}
ts218758,Aquarion Logos,show,2015.0,/poster/142963229/{profile}
ts56431,Second Generation,show,2003.0,
ts221939,Assault Lily: BOUQUET,show,2020.0,/poster/253936135/{profile}
ts34102,Red Data Girl,show,2013.0,/poster/241608185/{profile}
ts84654,Rinshi!! Ekoda-chan,show,2019.0,/poster/103455838/{profile}
ts231804,Actors: Songs Connection,show,2019.0,/poster/173409685/{profile}
ts31826,Gad Guard,show,2003.0,/poster/138720428/{profile}
ts28946,Strain: Strategic Armored Infantry,show,2006.0,/poster/258438949/{profile}
ts28515,Glass Fleet,show,2006.0,/poster/188662357/{profile}
ts26212,Sands of Destruction,show,2008.0,/poster/138977822/{profile}
ts236832,Magatsu Wahrheit: Zuerst,show,2020.0,/poster/208644973/{profile}
ts252020,Scared Rider Xechs,show,2016.0,/poster/253937855/{profile}
ts78923,Venus Project: Climax,show,2015.0,/poster/179024359/{profile}
ts42597,Magikano,show,2006.0,/poster/173202250/{profile}
